Section,Subsection,LINK,SNO,FirstLine
পূজা,,RabindranathTagore_Songs_Puja#১১৩--তোমারি-ইচ্ছা-হউক-পূর্ণ-করুণাময়-স্বামী,১১৩,তোমারি ইচ্ছা হউক পূর্ণ করুণাময় স্বামী
পূজা,,RabindranathTagore_Songs_Puja#১১৪--অন্ধজনে-দেহো-আলো-মৃতজনে-দেহো-প্রাণ,১১৪,অন্ধজনে দেহো আলো মৃতজনে দেহো প্রাণ
পূজা,,RabindranathTagore_Songs_Puja#১১৫--হে-মহাজীবন-হে-মহামরণ-লইনু-শরণ-লইনু-শরণ,১১৫,হে মহাজীবন হে মহামরণ লইনু শরণ লইনু শরণ॥
পূজা,,RabindranathTagore_Songs_Puja#১১৬--পথে-যেতে-ডেকেছিলে-মোরে,১১৬,পথে যেতে ডেকেছিলে মোরে
পূজা,,RabindranathTagore_Songs_Puja#১১৭--দুয়ারে-দাও-মোরে-রাখিয়া-নিত্য-কল্যাণ-কাজে-হে,১১৭,দুয়ারে দাও মোরে রাখিয়া নিত্য কল্যাণ-কাজে হে
পূজা,,RabindranathTagore_Songs_Puja#১১৮--ধনে-জনে-আছি-জড়ায়ে-হায়,১১৮,ধনে জনে আছি জড়ায়ে হায়
পূজা,,RabindranathTagore_Songs_Puja#১১৯--তোমারি-সেবক-করো-হে-আজি-হতে-আমারে,১১৯,তোমারি সেবক করো হে আজি হতে আমারে
পূজা,,RabindranathTagore_Songs_Puja#১২০--তুমি-এবার-আমায়-লহো-হে-নাথ-লহো,১২০,তুমি এবার আমায় লহো হে নাথ লহো
পূজা,,RabindranathTagore_Songs_Puja#১২১--হৃদয়ে-তোমার-দয়া-যেন-পাই,১২১,হৃদয়ে তোমার দয়া যেন পাই
পূজা,,RabindranathTagore_Songs_Puja#১২২--ভুবনেশ্বর-হে,১২২,ভুবনেশ্বর হে
পূজা,,RabindranathTagore_Songs_Puja#১২৩--আমার-সত্য-মিথ্যা-সকলই-ভুলায়ে-দাও,১২৩,আমার সত্য মিথ্যা সকলই ভুলায়ে দাও
পূজা,,RabindranathTagore_Songs_Puja#১২৪--ভয়-হতে-তব-অভয়মাঝে-নূতন-জনম-দাও-হে,১২৪,ভয় হতে তব অভয়মাঝে নূতন জনম দাও হে॥
পূজা,,RabindranathTagore_Songs_Puja#১২৫--পাদপ্রান্তে-রাখ-সেবকে,১২৫,পাদপ্রান্তে রাখ’ সেবকে
পূজা,,RabindranathTagore_Songs_Puja#১২৬--বরিষ-ধরা-মাঝে-শান্তির-বারি,১২৬,বরিষ ধরা-মাঝে শান্তির বারি
পূজা,,RabindranathTagore_Songs_Puja#১২৭--সার্থক-কর-সাধন,১২৭,সার্থক কর’ সাধন
পূজা,,RabindranathTagore_Songs_Puja#১২৮--আমার-মিলন-লাগি-তুমি-আসছ-কবে-থেকে,১২৮,আমার মিলন লাগি তুমি আসছ কবে থেকে
পূজা,,RabindranathTagore_Songs_Puja#১২৯--কোথায়-আলো-কোথায়-ওরে-আলো,১২৯,কোথায় আলো কোথায় ওরে আলো
পূজা,,RabindranathTagore_Songs_Puja#১৩০--তোরা-শুনিস-নি-কি-শুনিস-নি-তার-পায়ের-ধ্বনি,১৩০,তোরা শুনিস নি কি শুনিস নি তার পায়ের ধ্বনি
পূজা,,RabindranathTagore_Songs_Puja#১৩১--হে-অন্তরের-ধন,১৩১,হে অন্তরের ধন
পূজা,,RabindranathTagore_Songs_Puja#১৩২--তোমার-পূজার-ছলে-তোমায়-ভুলেই-থাকি,১৩২,তোমার পূজার ছলে তোমায় ভুলেই থাকি
পূজা,,RabindranathTagore_Songs_Puja#১৩৩--নীরবে-আছ-কেন-বাহিরদুয়ারে,১৩৩,নীরবে আছ কেন বাহিরদুয়ারে
পূজা,,RabindranathTagore_Songs_Puja#১৩৪--তোমার-আমার-এই-বিরহের-অন্তরালে,১৩৪,তোমার আমার এই বিরহের অন্তরালে
পূজা,,RabindranathTagore_Songs_Puja#১৩৫--নিশা-অবসানে-কে-দিল-গোপনে-আনি,১৩৫,নিশা-অবসানে কে দিল গোপনে আনি
পূজা,,RabindranathTagore_Songs_Puja#১৩৬--বিশ্ব-যখন-নিদ্রামগন-গগন-অন্ধকার,১৩৬,বিশ্ব যখন নিদ্রামগন গগন অন্ধকার
পূজা,,RabindranathTagore_Songs_Puja#১৩৭--যে-দিন-ফুটল-কমল-কিছুই-জানি-নাই,১৩৭,যে দিন ফুটল কমল কিছুই জানি নাই
পূজা,,RabindranathTagore_Songs_Puja#১৩৮--প্রভু-তোমা-লাগি-আঁখি-জাগে,১৩৮,প্রভু তোমা লাগি আঁখি জাগে
পূজা,,RabindranathTagore_Songs_Puja#১৩৯--যদি-তোমার-দেখা-না-পাই-প্রভু-এবার-এ-জীবনে,১৩৯,যদি তোমার দেখা না পাই প্রভু এবার এ জীবনে
পূজা,,RabindranathTagore_Songs_Puja#১৪০--হেরি-অহরহ-তোমারি-বিরহ-ভুবনে-ভুবনে-রাজে-হে,১৪০,হেরি অহরহ তোমারি বিরহ ভুবনে ভুবনে রাজে হে
